,non_null_count,mean,std,min,25%,50%,75%,max
blood_pressure_medication,3348,0.02867383512544803,0.16691305425548786,0.0,0.0,0.0,0.0,1.0
cholesterol_level,3030,236.78217821782178,44.432551655558676,107.0,206.0,234.0,263.0,600.0
stroke_history,3392,0.006485849056603774,0.08028501154611863,0.0,0.0,0.0,0.0,1.0
systolic_pressure,3392,132.43985849056602,22.036160539346646,83.5,117.0,128.0,144.0,295.0
hypertension_history,3392,0.310436320754717,0.4627404662306651,0.0,0.0,0.0,1.0,1.0
daily_cigarettes,3369,9.020184030869695,11.93741880729873,0.0,0.0,0.0,20.0,70.0
diastolic_pressure,3392,82.8841391509434,11.893920280138595,48.0,74.5,82.0,89.5,136.0
heart_rate,3391,75.8914774402831,12.010738357783096,44.0,68.0,75.0,83.0,143.0
smoking_status,3053,0.49492302653128073,0.5000561262440895,0.0,0.0,0.0,1.0,1.0
diabetes_history,3392,0.025943396226415096,0.15898990092737444,0.0,0.0,0.0,0.0,1.0
mass_index,3374,25.82690574985181,4.1268184483679,15.54,23.09,25.38,28.06,56.8
blood_sugar_level,3071,81.96352979485509,24.098494386701233,40.0,71.0,78.0,87.0,394.0
age,3392,51.6156134713838,14.050598591199405,32.0,43.0,49.0,57.0,134.79748647315805
education_level,3310,1.9827794561933534,1.025221147376708,1.0,1.0,2.0,3.0,4.0
gender,3392,0.42865566037735847,0.4949567746099925,0.0,0.0,0.0,1.0,1.0
sleep_heart_rate,3391,43.14366707844018,9.841157073644938,9.060451840845609,36.32027105311802,42.552716999095466,49.181074248159646,95.25030871515014
ldl_cholesterol,3355,118.28684791402482,23.152706398923563,45.99314966998156,102.16127045668222,117.0778349955602,132.4148847011851,285.7249527775669
high_blood_sugar,3392,0.025943396226415096,0.15898990092737444,0.0,0.0,0.0,0.0,1.0
